Block Type,96well,,
Chemistry,SYBR_GREEN,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\LCB\20190426\SSDA-0.eds,,
Experiment Run End Time,2019-04-26 13:05:40 PM PDT,,
Instrument Type,steponeplus,,
Passive Reference,ROX,,
,,,
Well,Cycle,SYBR,ROX
A10,7,,
A11,7,,
A12,7,,
B1,7,-10857.30859,28821.55859
B2,7,,
B3,7,-14676.4248,38163.1875
B4,7,,
B5,7,-12891.94629,32474.01953
B6,7,,
B7,7,-14841.77441,30802.35742
B8,7,,
B9,7,-11459.25977,34467.25781
B10,7,,
B11,7,,
B12,7,,
C1,7,-13976.22852,38827.49609
C2,7,,
C3,7,-16004.80469,36711.48828
C4,7,,
C5,7,-17817.35742,31738.48047
C6,7,,
C7,7,-15008.5332,23078.66992
C8,7,,
C9,7,-12897.31445,34098.19531
C10,7,,
C11,7,,
C12,7,,
D1,7,-14738.8584,31934.48047
D2,7,,
D3,7,-16335.85938,32857.96484
D4,7,,
D5,7,-15782.22949,30359.04883
D6,7,,
D7,7,-14143.28223,24041.5957
D8,7,,
D9,7,-13952.26367,36147.65625
D10,7,,
D11,7,,
D12,7,,
E1,7,-14758.70703,33539.17578
E2,7,,
E3,7,-14684.9668,35391.53906
E4,7,,
E5,7,-14078.92676,36364.46875
E6,7,,
E7,7,-14389.84766,36018.51172
E8,7,,
E9,7,-13678.06445,30757.66797
E10,7,,
E11,7,,
E12,7,,
F1,7,-15097.32129,35929.57813
F2,7,,
F3,7,-14311.34961,36214.80078
F4,7,,
F5,7,-11938.55859,35013.08594
F6,7,,
F7,7,-15010.45801,36188.15234
F8,7,,
F9,7,-13964.5,37658.83984
F10,7,,
F11,7,,
F12,7,,
G1,7,-13090.48145,32862.75
G2,7,,
G3,7,-14163.19043,35908.72266
G4,7,,
G5,7,-14324.29004,37178.53516
G6,7,,
G7,7,-14860.19434,33880.92578
G8,7,,
G9,7,-13376.03418,45575.65625
G10,7,,
G11,7,,
G12,7,,
H1,7,-14921.80566,30257.72656
H2,7,,
H3,7,-14965.91797,35153.70703
H4,7,,
H5,7,-13099.59277,33483.75781
H6,7,,
H7,7,-15110.80469,33605.72656
H8,7,,
H9,7,-11151.34473,-2109.965332
H10,7,,
H11,7,,
H12,7,,
A1,8,29786.79688,31659.13672
A2,8,,
A3,8,50550.68359,38325.57813
A4,8,,
A5,8,44845.32422,32101.90039
A6,8,,
A7,8,50579.60938,34733.65625
A8,8,,
A9,8,50936.23438,38619.96094
A10,8,,
A11,8,,
A12,8,,
B1,8,-2209.916016,30138.47266
B2,8,,
B3,8,-4250.115723,36007.5625
B4,8,,
B5,8,-1603.793457,31728.5918
B6,8,,
B7,8,-2452.98291,31287.89453
B8,8,,
B9,8,-22.12199783,33226.55859
B10,8,,
B11,8,,
B12,8,,
C1,8,-8767.158203,38591.43359
C2,8,,
C3,8,-10980.79492,35712.67188
C4,8,,
C5,8,-11825.36426,30790.10156
C6,8,,
C7,8,-7834.929688,34917.28906
C8,8,,
C9,8,-6982.366211,34276.48438
C10,8,,
C11,8,,
C12,8,,
D1,8,-10721.77734,33369.70703
D2,8,,
D3,8,-10937.0625,32483.98047
D4,8,,
D5,8,-10283.08789,30905.7207
D6,8,,
D7,8,-7933.471191,33528.98047
D8,8,,
D9,8,-6710.083984,40219.55469
D10,8,,
D11,8,,
D12,8,,
E1,8,-10750.86133,34485.83984
E2,8,,
E3,8,-8796.65625,35929
E4,8,,
E5,8,-7880.573242,36323.62109
E6,8,,
E7,8,-8506.94043,34601.72656
E8,8,,
E9,8,-6813.255371,36265.47266
E10,8,,
E11,8,,
E12,8,,
F1,8,-10831.55371,36780.88672
F2,8,,
F3,8,-10769.39258,33694.5
F4,8,,
F5,8,-4717.524414,34756.82031
F6,8,,
F7,8,-8972.59082,35489.4375
F8,8,,
